state,democratic,republican,other
AL,813479,1266546,19794
AK,123594,193841,8762
AZ,1034707,1230111,28657
AR,422310,638017,26290
CA,8274473,5011781,275646
CO,1288633,1073629,39200
CT,997772,629428,19597
DE,255459,152374,4579
DC,245800,17367,2686
FL,4282074,4045624,63046
GA,1844123,2048759,31604
HI,325871,120566,7131
ID,236440,403012,15670
IL,3419348,2031179,71844
IN,1374039,1345648,31367
IA,828940,682379,25804
KS,514765,699655,21452
KY,751985,1048462,26173
LA,782989,1148275,29497
ME,421923,295273,13967
MD,1629467,959862,42267
MA,1904097,1108854,68034
MI,2872579,2048639,80548
MN,1573354,1275409,61606
MS,554662,724597,10606
MO,1441911,1445814,37480
MT,231667,242763,15872
NE,333319,452979,14983
NV,533736,412827,21285
NH,384826,316534,9610
NJ,2215422,1613207,39608
NM,472422,346832,10904
NY,4804945,2752771,83215
NC,2142651,2128474,39664
ND,141278,168601,6742
OH,2940044,2677820,90486
OK,502496,960165,0
OR,1037291,738475,52098
PA,3276363,2655885,81024
RI,296571,165391,9804
SC,862449,1034896,23624
SD,170924,203054,7997
TN,1087437,1479178,33134
TX,3528633,4479328,69834
UT,327670,596030,28670
VT,219262,98974,6810
VA,1959532,1725005,38723
WA,1750848,1229216,56814
WV,303857,397466,12128
WI,1677211,1262393,43813
WY,82868,164958,6832
